block_off	str_off	speaker	text	english
FSYS.TOS	0x18		 <02>４を、手に入れた。	
FSYS.TOS	0x26		 はレベルを上げた。	
FSYS.TOS	0x32		  <02>５を、手に入れた。	
FSYS.TOS	0x41		 を、手に入れた。	
FSYS.TOS	0x4d		は 	
FSYS.TOS	0x50		<03:56><14>何も持ってないっ。	
FSYS.TOS	0x5f		<03:57><03:26>は、なくなってしまった。	
FSYS.TOS	0x70		<03:57><03:26> を唱えた。\n	
FSYS.TOS	0x7d		<03:51><20> 作戦モ~ド <20>\n<03:57><14>攻 撃 優 先\n<14>退 避 優 先\n<14>お ま か せ\n<14>回 復 魔 法\n<14>攻 撃 魔 法\n<14>精 霊 召 喚	
FSYS.TOS	0xd7		<02>\n\n<03:23>作戦を聞いてくれる様な仲間はいないぞ。	
FSYS.TOS	0xf6		<03:57><03:21><03:2b>クイック。	
FSYS.TOS	0x102		<03:57><03:21><03:2b>エンチャンテッド ウエポン。	
FSYS.TOS	0x117		<03:57><03:21><03:2b>ブレス。	
FSYS.TOS	0x122		<03:57><03:21><03:2b>キュア~。	
FSYS.TOS	0x12e		<03:57><03:21><03:2b>スリ~プ クラウド。	
FSYS.TOS	0x13f		<03:57><03:20><03:2b>サイレンス。	
FSYS.TOS	0x14c		の魔力を封じた。	
FSYS.TOS	0x158		の防御力が上がった。	
FSYS.TOS	0x167		の行動量が増えた。	
FSYS.TOS	0x175		の攻撃力が上がった。	
FSYS.TOS	0x184		は、正常に戻った。	
FSYS.TOS	0x191		敵の動きは止まった。	
FSYS.TOS	0x19f		<03:57><03:26>を使う。\n	
FSYS.TOS	0x1aa		敵の魔力を封じた。	
FSYS.TOS	0x1b8		とくに弱った奴はいない！	
FSYS.TOS	0x1c7		周囲に敵はいない。	
FSYS.TOS	0x1d4		<03:52>ドライブ１は、システム<14>ディスク<02>ザ	
FSYS.TOS	0x1e9		　あなたの冒険は失敗に終わりました。	
FSYS.TOS	0x208		の、<02>すが消え去った。	
FSYS.TOS	0x216		<03:51><20> 戦闘 メニュ~ <20>\n<03:57><14>道 具 を 使 う\n<14>作 戦 指 示\n<14>攻撃目標 設定\n<14>［自動］［手動］\n<14>に げ る	
FSYS.TOS	0x26b		<03:52>行動ポイントが足りない。	
FSYS.TOS	0x27d		のレベルを上げた。	
FSYS.TOS	0x288		逃げられない。	
FSYS.TOS	0x291		うまく逃げることができた。	
FSYS.TOS	0x2a0		<03:51><20> 攻撃目標 設定 <20>\n<03:57><14> 個人で攻撃目標\n<14> 全員で攻撃目標	
FSYS.TOS	0x2d6		マ~クしました。	
FSYS.TOS	0x2df		<03:55>ここで使う物ではない。	
FSYS.TOS	0x2ef		<03:56>使う場所が違うみたい。	
FSYS.TOS	0x301		<03:51><20><14>作 戦 指 示<14><20>\n<03:57><14> 個人別の作戦\n<14> 全員での作戦	
FSYS.TOS	0x330		<03:57><03:26>は、\n魔法を使えないため拒否した。	
FSYS.TOS	0x34b		<03:57><03:26>は、\n<02>れ召還で出来ないため拒否した。	
FSYS.TOS	0x369		<03:57><03:26>は、\n自分自身に気合いをいれた。	
FSYS.TOS	0x385		<03:21><03:2c>回復魔法は得意じゃないけど、頑張るわ。	
FSYS.TOS	0x3a5		<03:21><03:2c>一生懸命、頑張ります。	
FSYS.TOS	0x3bb		<03:21><03:2c>神の御加護のあらん事を。	
FSYS.TOS	0x3d1		\n<03:1e><03:31><02>ア<03:23><03:2b>んん？	
FSYS.TOS	0x3e1		<03:20><03:2b>オッケ~、まかしてちょうだい。	
FSYS.TOS	0x3f5		<03:23><03:2c>承知した。	
FSYS.TOS	0x402		<03:21><03:2c>攻撃魔法ならまかして。	
FSYS.TOS	0x416		<03:20><03:2b>やってみるね。	
FSYS.TOS	0x422		<03:21><03:2c>神聖魔術の力を見せてあげるわ。	
FSYS.TOS	0x43c		<03:23><03:2c>承知した。	
FSYS.TOS	0x44e		は\n	
FSYS.TOS	0x453		<03:57><03:20><03:2b>コンフュ~ジョン。	
FSYS.TOS	0x463		は、混乱した。	
FSYS.TOS	0x46d		<03:54><03:22><03:2b>ガオォォォォォッ！	
FSYS.TOS	0x47d		ここでは、効果がなかった。	
FSYS.TOS	0x4c2		<03:57><14>←<20><20><14>ペ~ジ<14><20><20>→\n	
