block_off	str_off	speaker	text	english
NAME.P	0x1		ウォーリック	Warrick
NAME.P	0x2		レイナ	Reina
NAME.P	0x3		ファーニス	Furnis
NAME.P	0x4		ライド	Ride
NAME.P	0x5		セシリア	Cecilia
NAME.P	0x6		ブラフォード	Blaford
NAME.P	0x7		セス	Seth
NAME.P	0x8		ブージ	Booj
NAME.P	0x9		ナッツ	Nutts
NAME.P	0xa		大婆様	Granny
NAME.P	0xb		ダ　ン	Dan
NAME.P	0xc		ランバート	Lambert
NAME.P	0xd		キャロル	Carol
NAME.P	0xe		ベイグ	Veig
NAME.P	0xf		バーナー王子	Prince Berner
NAME.P	0x10		ドラゴン　ライダー	Dragon Rider
NAME.P	0x11		重装騎兵団	Heavy Cavalry Corps
NAME.P	0x12		重装騎兵	Heavy Cavalry
NAME.P	0x13		聖騎士団	Paladins
NAME.P	0x14		聖騎士	Paladin
NAME.P	0x15		騎士団	Knight Order
NAME.P	0x16		ブレイス	Brace
NAME.P	0x17		グリーク	Greek
NAME.P	0x18		パーシャ	Pasha
NAME.P	0x19		エリオット	Elliott
NAME.P	0x1a		看護兵	Medic
NAME.P	0x1b		ゼロ船長	Captain Zero
NAME.P	0x1c		ポップ	Pop
NAME.P	0x1d		タップ	Tap
NAME.P	0x1e		ウィルディース艦長	Captain Wildeath
NAME.P	0x1f		シンシア	Cynthia
NAME.P	0x20		カル伯爵	Count Cal
NAME.P	0x21		クレイボーン	Claybourne
NAME.P	0x22		マージス	Margis
NAME.P	0x23		ドリアード	Dryad
NAME.P	0x24		シュタイナー	Steiner
NAME.P	0x25		ドード	Dode
NAME.P	0x26		ビアガン	Biagan
NAME.P	0x27		バーグ	Berg
NAME.P	0x28		カーム	Calm
NAME.P	0x29		ナイトメア	Nightmare
NAME.P	0x2a		パチュンガ	Pachunga
NAME.P	0x2b		クラウスの村	Klaus Village
NAME.P	0x2c		氷の洞窟	Ice Cavern
NAME.P	0x2d		レジーナの森	Regina Forest
NAME.P	0x2e		ジーク王国	Zeke Kingdom
NAME.P	0x2f		ジーク城	Zeke Castle
NAME.P	0x30		ジーク	Zeke
