block_off	str_off	speaker	text	english
SYSTEM2.TOS	0x1f		<03:56><04>剣<14><14>類	
SYSTEM2.TOS	0x29		<03:56><04>長<04>剣<04>類	
SYSTEM2.TOS	0x35		<03:56><04>斧<14><14>類	
SYSTEM2.TOS	0x3f		<03:56><04>槍<14><14>類	
SYSTEM2.TOS	0x49		<03:56><04>殴り武器	
SYSTEM2.TOS	0x54		<03:56><04>杖<14><14>類	
SYSTEM2.TOS	0x5e		<03:56><04>弓<14><14>類<1a>両手<1b>	
SYSTEM2.TOS	0x6e		<03:56><04>大型武器<1a>両手<1b>	
SYSTEM2.TOS	0x80		<03:57>ユ~ザ~ディスクの\nフォ~マット処理中///	
SYSTEM2.TOS	0x9c		<03:57><14>ビジュアル\n<14>現在開発中につき未表示	
SYSTEM2.TOS	0xba		<03:51>   <14><04>音声<14>モ~ド<14><04>   \n	
SYSTEM2.TOS	0xd0		<03:55><04>［<04>有<14>効<04>］<14><14>［<04>無<14>効<04>］	
SYSTEM2.TOS	0xec		<03:51>   <14><14>背景<04>設定<14><14>   \n	
SYSTEM2.TOS	0x103		<03:55><04>［<04>標<14>準<04>］<14><14>［<04>高<14>速<04>］	
SYSTEM2.TOS	0x11f		ファイル名がない	
SYSTEM2.TOS	0x129		ディスクがいっぱい	
SYSTEM2.TOS	0x133		ライト/プロテクト	
SYSTEM2.TOS	0x13d		ディスクの準備は？	
SYSTEM2.TOS	0x149		ＣＲＣ<14>エラ~	
SYSTEM2.TOS	0x155		<03:52>緊急事態<14><03:57>ファイルＮＧ\n	
SYSTEM2.TOS	0x16c		\n<03:57><14>ゲ~ムスイッチ	
SYSTEM2.TOS	0x178		<03:51>   <04><03:57>ゲ~ム<14>スイッチ<04><03:51>   \n	
SYSTEM2.TOS	0x190		<03:55>★説明★\n<03:52><14>◎<03:57>ノ~マル<14><1a>通常モ~ド<1b>\nスリリングな<14>戦闘ゲ~ム展開ができます。\n<03:52><14>○<03:57><04>イ~ジ~<14>モ~ド\nシナリオを楽しみたい<03:55>人間<03:57>に向きます。\n戦闘簡単／シナリオが<03:53>サクサク<03:57>と進みます。\n	
SYSTEM2.TOS	0x216		<03:55><04>［ノ~マル］<14><14>［イ~ジ~］	
